Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
118,,2025-04-11 13:45:00,,,-1.0,453.75,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,449.71,453.75,Unknown,Unknown
120,,2025-04-14 18:00:00,,,1.0,33.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,29.71,33.75,Unknown,Unknown
122,,2025-04-15 18:00:00,,,1.0,83.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,79.71,83.75,Unknown,Unknown
124,,2025-04-16 12:45:00,,,-1.0,-211.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-215.29,-211.25,Unknown,Unknown
126,,2025-04-20 18:00:00,,,-1.0,-81.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-85.29,-81.25,Unknown,Unknown
128,,2025-04-22 18:00:00,,,-1.0,126.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,122.21,126.25,Unknown,Unknown
130,,2025-04-23 18:00:00,,,1.0,108.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,104.71,108.75,Unknown,Unknown
132,,2025-04-25 13:30:00,,,-1.0,132.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,128.46,132.5,Unknown,Unknown
134,,2025-04-30 16:00:00,,,-1.0,276.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,272.21,276.25,Unknown,Unknown
136,,2025-05-01 16:00:00,,,-1.0,-162.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-166.54,-162.5,Unknown,Unknown
138,,2025-05-04 18:00:00,,,-1.0,61.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,57.21,61.25,Unknown,Unknown
140,,2025-05-06 16:30:00,,,-1.0,-130.0,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-134.04,-130.0,Unknown,Unknown
142,,2025-05-07 13:15:00,,,1.0,-148.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-152.79,-148.75,Unknown,Unknown
144,,2025-05-07 14:15:00,,,1.0,130.0,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,125.96,130.0,Unknown,Unknown
146,,2025-05-08 18:00:00,,,-1.0,-72.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-76.54,-72.5,Unknown,Unknown
148,,2025-05-12 13:00:00,,,1.0,-148.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-152.79,-148.75,Unknown,Unknown
150,,2025-05-12 16:15:00,,,-1.0,91.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,87.21,91.25,Unknown,Unknown
152,,2025-05-14 18:00:00,,,1.0,13.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,9.71,13.75,Unknown,Unknown
154,,2025-05-15 11:30:00,,,-1.0,107.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,103.46,107.5,Unknown,Unknown
156,,2025-05-16 12:15:00,,,1.0,-122.5,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-126.54,-122.5,Unknown,Unknown
158,,2025-05-20 14:30:00,,,-1.0,-86.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-90.29,-86.25,Unknown,Unknown
