Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,HoldMins,Commission,NetPL,GrossPL,Direction,Session
180,,2025-01-06 15:00:00,,,1.0,-41.25,SuperSignal_v6,Buy to Close,,4.04,-45.29,-41.25,Unknown,Unknown
182,,2025-01-07 03:45:00,,,-1.0,47.5,EMA_Inversion_33,Sell to Close,,4.04,43.46,47.5,Unknown,Unknown
184,,2025-01-07 09:30:00,,,1.0,-90.0,EMA_Inversion_33,Buy to Close,,4.04,-94.04,-90.0,Unknown,Unknown
186,,2025-01-08 04:15:00,,,-1.0,-357.5,EMA_Inversion_33,Sell to Close,,4.04,-361.54,-357.5,Unknown,Unknown
188,,2025-01-08 06:30:00,,,1.0,48.75,EMA_Inversion_33,Buy to Close,,4.04,44.71,48.75,Unknown,Unknown
190,,2025-01-08 07:00:00,,,-1.0,-31.25,EMA_Inversion_33,Sell to Close,,4.04,-35.29,-31.25,Unknown,Unknown
192,,2025-01-08 07:15:00,,,1.0,58.75,EMA_Inversion_33,Buy to Close,,4.04,54.71,58.75,Unknown,Unknown
194,,2025-01-08 08:30:00,,,-1.0,47.5,EMA_Inversion_33,Sell to Close,,4.04,43.46,47.5,Unknown,Unknown
196,,2025-01-08 08:45:00,,,1.0,20.0,EMA_Inversion_33,Buy to Close,,4.04,15.96,20.0,Unknown,Unknown
198,,2025-01-08 09:00:00,,,-1.0,56.25,EMA_Inversion_33,Sell to Close,,4.04,52.21,56.25,Unknown,Unknown
200,,2025-01-08 09:15:00,,,1.0,40.0,EMA_Inversion_33,Buy to Close,,4.04,35.96,40.0,Unknown,Unknown
202,,2025-01-08 12:15:00,,,-1.0,-65.0,SuperSignal_v6,Sell to Close,,4.04,-69.04,-65.0,Unknown,Unknown
204,,2025-01-08 13:15:00,,,1.0,-122.5,SuperSignal_v6,Buy to Close,,4.04,-126.54,-122.5,Unknown,Unknown
206,,2025-01-08 18:00:00,,,-1.0,-10.0,SuperSignal_v6,Sell to Close,,4.04,-14.04,-10.0,Unknown,Unknown
208,,2025-01-09 07:30:00,,,1.0,41.25,EMA_Inversion_33,Buy to Close,,4.04,37.21,41.25,Unknown,Unknown
210,,2025-01-09 08:15:00,,,-1.0,40.0,EMA_Inversion_33,Sell to Close,,4.04,35.96,40.0,Unknown,Unknown
212,,2025-01-09 09:15:00,,,1.0,63.75,EMA_Inversion_33,Buy to Close,,4.04,59.71,63.75,Unknown,Unknown
214,,2025-01-10 03:15:00,,,-1.0,40.0,EMA_Inversion_33,Sell to Close,,4.04,35.96,40.0,Unknown,Unknown
216,,2025-01-10 04:45:00,,,1.0,52.5,EMA_Inversion_33,Buy to Close,,4.04,48.46,52.5,Unknown,Unknown
218,,2025-01-10 05:45:00,,,-1.0,55.0,EMA_Inversion_33,Sell to Close,,4.04,50.96,55.0,Unknown,Unknown
220,,2025-01-10 07:15:00,,,1.0,43.75,EMA_Inversion_33,Buy to Close,,4.04,39.71,43.75,Unknown,Unknown
222,,2025-01-10 07:45:00,,,-1.0,41.25,EMA_Inversion_33,Sell to Close,,4.04,37.21,41.25,Unknown,Unknown
224,,2025-01-10 08:45:00,,,1.0,210.0,EMA_Inversion_33,Buy to Close,,4.04,205.96,210.0,Unknown,Unknown
226,,2025-01-10 09:15:00,,,-1.0,43.75,EMA_Inversion_33,Sell to Close,,4.04,39.71,43.75,Unknown,Unknown
228,,2025-01-10 13:30:00,,,1.0,78.75,SuperSignal_v6,Buy to Close,,4.04,74.71,78.75,Unknown,Unknown
230,,2025-01-12 18:00:00,,,1.0,106.25,SuperSignal_v6,Buy to Close,,4.04,102.21,106.25,Unknown,Unknown
232,,2025-01-13 07:45:00,,,-1.0,16.25,EMA_Inversion_33,Sell to Close,,4.04,12.21,16.25,Unknown,Unknown
234,,2025-01-14 07:00:00,,,1.0,-320.0,EMA_Inversion_33,Buy to Close,,4.04,-324.04,-320.0,Unknown,Unknown
236,,2025-01-14 08:45:00,,,-1.0,18.75,EMA_Inversion_33,Sell to Close,,4.04,14.71,18.75,Unknown,Unknown
238,,2025-01-14 12:00:00,,,1.0,251.25,SuperSignal_v6,Buy to Close,,4.04,247.21,251.25,Unknown,Unknown
240,,2025-01-14 16:15:00,,,1.0,-100.0,SuperSignal_v6,Buy to Close,,4.04,-104.04,-100.0,Unknown,Unknown
242,,2025-01-15 09:30:00,,,1.0,-397.5,EMA_Inversion_33,Buy to Close,,4.04,-401.54,-397.5,Unknown,Unknown
244,,2025-01-15 11:45:00,,,-1.0,-31.25,SuperSignal_v6,Sell to Close,,4.04,-35.29,-31.25,Unknown,Unknown
246,,2025-01-15 14:30:00,,,-1.0,67.5,SuperSignal_v6,Sell to Close,,4.04,63.46,67.5,Unknown,Unknown
248,,2025-01-16 04:45:00,,,1.0,62.5,EMA_Inversion_33,Buy to Close,,4.04,58.46,62.5,Unknown,Unknown
250,,2025-01-16 05:30:00,,,-1.0,48.75,EMA_Inversion_33,Sell to Close,,4.04,44.71,48.75,Unknown,Unknown
252,,2025-01-16 07:30:00,,,1.0,53.75,EMA_Inversion_33,Buy to Close,,4.04,49.71,53.75,Unknown,Unknown
254,,2025-01-17 03:30:00,,,-1.0,-61.25,EMA_Inversion_33,Sell to Close,,4.04,-65.29,-61.25,Unknown,Unknown
256,,2025-01-20 07:15:00,,,1.0,-235.0,EMA_Inversion_33,Buy to Close,,4.04,-239.04,-235.0,Unknown,Unknown
258,,2025-01-20 08:45:00,,,-1.0,65.0,EMA_Inversion_33,Sell to Close,,4.04,60.96,65.0,Unknown,Unknown
260,,2025-01-20 09:30:00,,,1.0,-92.5,EMA_Inversion_33,Buy to Close,,4.04,-96.54,-92.5,Unknown,Unknown
262,,2025-01-21 03:15:00,,,-1.0,-95.0,EMA_Inversion_33,Sell to Close,,4.04,-99.04,-95.0,Unknown,Unknown
264,,2025-01-21 09:30:00,,,1.0,-96.25,EMA_Inversion_33,Buy to Close,,4.04,-100.29,-96.25,Unknown,Unknown
266,,2025-01-21 13:30:00,,,-1.0,112.5,SuperSignal_v6,Sell to Close,,4.04,108.46,112.5,Unknown,Unknown
268,,2025-01-21 16:15:00,,,-1.0,41.25,SuperSignal_v6,Sell to Close,,4.04,37.21,41.25,Unknown,Unknown
270,,2025-01-22 09:30:00,,,1.0,-63.75,EMA_Inversion_33,Buy to Close,,4.04,-67.79,-63.75,Unknown,Unknown
272,,2025-01-22 14:15:00,,,-1.0,48.75,SuperSignal_v6,Sell to Close,,4.04,44.71,48.75,Unknown,Unknown
274,,2025-01-22 16:00:00,,,-1.0,-35.0,SuperSignal_v6,Sell to Close,,4.04,-39.04,-35.0,Unknown,Unknown
276,,2025-01-23 07:30:00,,,-1.0,47.5,EMA_Inversion_33,Sell to Close,,4.04,43.46,47.5,Unknown,Unknown
278,,2025-01-23 09:30:00,,,1.0,-3.75,EMA_Inversion_33,Buy to Close,,4.04,-7.79,-3.75,Unknown,Unknown
280,,2025-01-23 11:30:00,,,-1.0,78.75,SuperSignal_v6,Sell to Close,,4.04,74.71,78.75,Unknown,Unknown
282,,2025-01-23 16:00:00,,,-1.0,36.25,SuperSignal_v6,Sell to Close,,4.04,32.21,36.25,Unknown,Unknown
284,,2025-01-24 08:00:00,,,-1.0,8.75,EMA_Inversion_33,Sell to Close,,4.04,4.71,8.75,Unknown,Unknown
286,,2025-01-24 08:45:00,,,1.0,23.75,EMA_Inversion_33,Buy to Close,,4.04,19.71,23.75,Unknown,Unknown
288,,2025-01-24 09:30:00,,,-1.0,53.75,EMA_Inversion_33,Sell to Close,,4.04,49.71,53.75,Unknown,Unknown
290,,2025-01-24 13:00:00,,,1.0,60.0,SuperSignal_v6,Buy to Close,,4.04,55.96,60.0,Unknown,Unknown
292,,2025-01-27 06:00:00,,,-1.0,-285.0,EMA_Inversion_33,Sell to Close,,4.04,-289.04,-285.0,Unknown,Unknown
294,,2025-01-27 06:30:00,,,1.0,-30.0,EMA_Inversion_33,Buy to Close,,4.04,-34.04,-30.0,Unknown,Unknown
296,,2025-01-27 07:15:00,,,-1.0,73.75,EMA_Inversion_33,Sell to Close,,4.04,69.71,73.75,Unknown,Unknown
298,,2025-01-27 09:15:00,,,1.0,-28.75,EMA_Inversion_33,Buy to Close,,4.04,-32.79,-28.75,Unknown,Unknown
300,,2025-01-27 09:30:00,,,-1.0,-8.75,EMA_Inversion_33,Sell to Close,,4.04,-12.79,-8.75,Unknown,Unknown
302,,2025-01-28 07:00:00,,,1.0,-308.75,EMA_Inversion_33,Buy to Close,,4.04,-312.79,-308.75,Unknown,Unknown
304,,2025-01-28 08:15:00,,,-1.0,0.0,EMA_Inversion_33,Sell to Close,,4.04,-4.04,0.0,Unknown,Unknown
306,,2025-01-28 08:45:00,,,1.0,33.75,EMA_Inversion_33,Buy to Close,,4.04,29.71,33.75,Unknown,Unknown
308,,2025-01-28 13:30:00,,,-1.0,228.75,SuperSignal_v6,Sell to Close,,4.04,224.71,228.75,Unknown,Unknown
310,,2025-01-28 15:00:00,,,-1.0,58.75,SuperSignal_v6,Sell to Close,,4.04,54.71,58.75,Unknown,Unknown
312,,2025-01-29 05:30:00,,,1.0,33.75,EMA_Inversion_33,Buy to Close,,4.04,29.71,33.75,Unknown,Unknown
