Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,HoldMins,Session,TradeType,RMultiple,Commission,NetPL
210,,2025-01-09 08:15:00,,,-1.0,40.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,37.98
212,,2025-01-09 09:15:00,,,1.0,63.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,61.73
214,,2025-01-10 03:15:00,,,-1.0,40.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,37.98
216,,2025-01-10 04:45:00,,,1.0,52.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,50.48
218,,2025-01-10 05:45:00,,,-1.0,55.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,52.98
220,,2025-01-10 07:15:00,,,1.0,43.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,41.73
222,,2025-01-10 07:45:00,,,-1.0,41.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,39.23
224,,2025-01-10 08:45:00,,,1.0,210.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,207.98
226,,2025-01-10 09:15:00,,,-1.0,43.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,41.73
228,,2025-01-10 13:30:00,,,1.0,78.75,SuperSignal_v6,,Unknown,Unknown,,2.02,76.73
230,,2025-01-12 18:00:00,,,1.0,106.25,SuperSignal_v6,,Unknown,Unknown,,2.02,104.23
232,,2025-01-13 07:45:00,,,-1.0,16.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,14.23
234,,2025-01-14 07:00:00,,,1.0,-320.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-322.02
236,,2025-01-14 08:45:00,,,-1.0,18.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,16.73
238,,2025-01-14 12:00:00,,,1.0,251.25,SuperSignal_v6,,Unknown,Unknown,,2.02,249.23
240,,2025-01-14 16:15:00,,,1.0,-100.0,SuperSignal_v6,,Unknown,Unknown,,2.02,-102.02
242,,2025-01-15 09:30:00,,,1.0,-397.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-399.52
244,,2025-01-15 11:45:00,,,-1.0,-31.25,SuperSignal_v6,,Unknown,Unknown,,2.02,-33.27
246,,2025-01-15 14:30:00,,,-1.0,67.5,SuperSignal_v6,,Unknown,Unknown,,2.02,65.48
248,,2025-01-16 04:45:00,,,1.0,62.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,60.48
250,,2025-01-16 05:30:00,,,-1.0,48.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,46.73
252,,2025-01-16 07:30:00,,,1.0,53.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,51.73
254,,2025-01-17 03:30:00,,,-1.0,-61.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,-63.27
256,,2025-01-20 07:15:00,,,1.0,-235.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-237.02
258,,2025-01-20 08:45:00,,,-1.0,65.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,62.98
260,,2025-01-20 09:30:00,,,1.0,-92.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-94.52
262,,2025-01-21 03:15:00,,,-1.0,-95.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-97.02
264,,2025-01-21 09:30:00,,,1.0,-96.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,-98.27
266,,2025-01-21 13:30:00,,,-1.0,112.5,SuperSignal_v6,,Unknown,Unknown,,2.02,110.48
268,,2025-01-21 16:15:00,,,-1.0,41.25,SuperSignal_v6,,Unknown,Unknown,,2.02,39.23
270,,2025-01-22 09:30:00,,,1.0,-63.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-65.77
272,,2025-01-22 14:15:00,,,-1.0,48.75,SuperSignal_v6,,Unknown,Unknown,,2.02,46.73
274,,2025-01-22 16:00:00,,,-1.0,-35.0,SuperSignal_v6,,Unknown,Unknown,,2.02,-37.02
276,,2025-01-23 07:30:00,,,-1.0,47.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,45.48
278,,2025-01-23 09:30:00,,,1.0,-3.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-5.77
280,,2025-01-23 11:30:00,,,-1.0,78.75,SuperSignal_v6,,Unknown,Unknown,,2.02,76.73
282,,2025-01-23 16:00:00,,,-1.0,36.25,SuperSignal_v6,,Unknown,Unknown,,2.02,34.23
284,,2025-01-24 08:00:00,,,-1.0,8.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,6.73
286,,2025-01-24 08:45:00,,,1.0,23.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,21.73
288,,2025-01-24 09:30:00,,,-1.0,53.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,51.73
290,,2025-01-24 13:00:00,,,1.0,60.0,SuperSignal_v6,,Unknown,Unknown,,2.02,57.98
292,,2025-01-27 06:00:00,,,-1.0,-285.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-287.02
294,,2025-01-27 06:30:00,,,1.0,-30.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-32.02
