Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
152,,2025-01-29 13:15:00,,,1.0,71.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,67.21,71.25,Unknown,Unknown
154,,2025-01-30 10:15:00,,,-1.0,-83.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-87.79,-83.75,Unknown,Unknown
156,,2025-01-30 14:00:00,,,1.0,-120.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-124.04,-120.0,Unknown,Unknown
158,,2025-01-31 10:45:00,,,-1.0,55.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,50.96,55.0,Unknown,Unknown
160,,2025-01-31 14:15:00,,,1.0,98.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,94.71,98.75,Unknown,Unknown
162,,2025-02-03 10:30:00,,,1.0,-110.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-114.04,-110.0,Unknown,Unknown
164,,2025-02-03 14:30:00,,,-1.0,127.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,123.46,127.5,Unknown,Unknown
166,,2025-02-04 10:15:00,,,-1.0,58.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,54.71,58.75,Unknown,Unknown
168,,2025-02-04 16:15:00,,,-1.0,-28.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-32.79,-28.75,Unknown,Unknown
170,,2025-02-05 13:45:00,,,-1.0,107.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,103.46,107.5,Unknown,Unknown
172,,2025-02-06 13:15:00,,,1.0,-55.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-59.04,-55.0,Unknown,Unknown
174,,2025-02-06 14:45:00,,,1.0,48.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,44.71,48.75,Unknown,Unknown
176,,2025-02-07 10:15:00,,,-1.0,-78.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-82.79,-78.75,Unknown,Unknown
178,,2025-02-07 15:30:00,,,1.0,107.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,103.46,107.5,Unknown,Unknown
180,,2025-02-10 12:15:00,,,-1.0,-42.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-46.54,-42.5,Unknown,Unknown
182,,2025-02-10 14:15:00,,,-1.0,56.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,52.21,56.25,Unknown,Unknown
184,,2025-02-11 18:00:00,,,-1.0,47.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,43.46,47.5,Unknown,Unknown
186,,2025-02-12 18:00:00,,,-1.0,80.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,75.96,80.0,Unknown,Unknown
188,,2025-02-13 10:45:00,,,-1.0,96.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,92.21,96.25,Unknown,Unknown
190,,2025-02-13 14:15:00,,,-1.0,75.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,70.96,75.0,Unknown,Unknown
192,,2025-02-14 10:45:00,,,-1.0,-43.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-47.79,-43.75,Unknown,Unknown
