Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
198,,2025-04-29 11:00:00,,,1.0,-125.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-129.04,-125.0,Unknown,Unknown
200,,2025-04-30 08:45:00,,,1.0,133.75,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,129.71,133.75,Unknown,Unknown
202,,2025-05-01 09:45:00,,,-1.0,-107.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-111.54,-107.5,Unknown,Unknown
204,,2025-05-02 08:45:00,,,1.0,-175.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-179.04,-175.0,Unknown,Unknown
206,,2025-05-05 10:15:00,,,1.0,-100.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-104.04,-100.0,Unknown,Unknown
208,,2025-05-06 11:00:00,,,1.0,-73.75,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-77.79,-73.75,Unknown,Unknown
210,,2025-05-07 08:30:00,,,-1.0,-110.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-114.04,-110.0,Unknown,Unknown
212,,2025-05-08 08:45:00,,,-1.0,-103.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-107.79,-103.75,Unknown,Unknown
214,,2025-05-09 07:30:00,,,-1.0,-83.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-87.79,-83.75,Unknown,Unknown
216,,2025-05-11 18:00:00,,,-1.0,-105.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-109.04,-105.0,Unknown,Unknown
218,,2025-05-12 09:45:00,,,-1.0,-161.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-165.29,-161.25,Unknown,Unknown
