Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
744,,2025-04-24 03:30:00,,,1.0,341.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,337.21,341.25,Unknown,Unknown
746,,2025-04-24 06:15:00,,,-1.0,-7.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-11.54,-7.5,Unknown,Unknown
748,,2025-04-24 07:15:00,,,1.0,-66.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-70.29,-66.25,Unknown,Unknown
750,,2025-04-24 07:30:00,,,-1.0,-26.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-30.29,-26.25,Unknown,Unknown
752,,2025-04-24 07:45:00,,,1.0,28.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,24.71,28.75,Unknown,Unknown
754,,2025-04-24 08:00:00,,,-1.0,25.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,20.96,25.0,Unknown,Unknown
756,,2025-04-24 09:30:00,,,1.0,-120.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-124.04,-120.0,Unknown,Unknown
758,,2025-04-25 04:00:00,,,-1.0,625.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,620.96,625.0,Unknown,Unknown
760,,2025-04-25 05:00:00,,,1.0,18.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,14.71,18.75,Unknown,Unknown
762,,2025-04-25 07:15:00,,,-1.0,-146.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-150.29,-146.25,Unknown,Unknown
764,,2025-04-25 07:30:00,,,1.0,-25.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-29.04,-25.0,Unknown,Unknown
766,,2025-04-28 03:30:00,,,-1.0,163.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,159.71,163.75,Unknown,Unknown
768,,2025-04-28 07:00:00,,,1.0,42.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,38.46,42.5,Unknown,Unknown
770,,2025-04-28 07:30:00,,,-1.0,45.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,40.96,45.0,Unknown,Unknown
772,,2025-04-29 04:15:00,,,1.0,-78.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-82.79,-78.75,Unknown,Unknown
774,,2025-04-29 04:30:00,,,-1.0,33.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,29.71,33.75,Unknown,Unknown
776,,2025-04-29 06:45:00,,,1.0,65.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,60.96,65.0,Unknown,Unknown
778,,2025-04-30 03:15:00,,,-1.0,123.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,119.71,123.75,Unknown,Unknown
780,,2025-04-30 06:45:00,,,1.0,41.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,37.21,41.25,Unknown,Unknown
782,,2025-05-01 03:30:00,,,-1.0,397.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,393.46,397.5,Unknown,Unknown
784,,2025-05-01 09:00:00,,,1.0,38.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,34.71,38.75,Unknown,Unknown
786,,2025-05-01 09:30:00,,,-1.0,27.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,23.46,27.5,Unknown,Unknown
788,,2025-05-02 03:45:00,,,1.0,-38.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-42.79,-38.75,Unknown,Unknown
790,,2025-05-02 08:45:00,,,-1.0,100.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,95.96,100.0,Unknown,Unknown
792,,2025-05-05 04:45:00,,,1.0,37.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,33.46,37.5,Unknown,Unknown
794,,2025-05-06 09:30:00,,,-1.0,-242.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-246.54,-242.5,Unknown,Unknown
796,,2025-05-07 04:15:00,,,1.0,-191.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-195.29,-191.25,Unknown,Unknown
798,,2025-05-07 05:00:00,,,-1.0,25.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,20.96,25.0,Unknown,Unknown
800,,2025-05-07 08:15:00,,,1.0,78.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,74.71,78.75,Unknown,Unknown
802,,2025-05-08 03:15:00,,,-1.0,248.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,244.71,248.75,Unknown,Unknown
804,,2025-05-08 07:45:00,,,1.0,-37.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-41.54,-37.5,Unknown,Unknown
806,,2025-05-08 09:30:00,,,-1.0,-63.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-67.79,-63.75,Unknown,Unknown
808,,2025-05-09 04:15:00,,,1.0,16.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,12.21,16.25,Unknown,Unknown
810,,2025-05-09 06:00:00,,,-1.0,35.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,30.96,35.0,Unknown,Unknown
812,,2025-05-09 07:30:00,,,1.0,-3.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-7.79,-3.75,Unknown,Unknown
