Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
704,,2025-04-17 05:00:00,,,,1.0,1.0,35.0,35.0,4.04,30.96,7.0,35.0,30.96,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(71.25)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
706,,2025-04-17 05:30:00,,,,-1.0,1.0,43.75,43.75,4.04,39.71,8.75,43.75,39.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
708,,2025-04-17 06:15:00,,,,1.0,1.0,91.25,91.25,4.04,87.21,18.25,91.25,87.21,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(91.25)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
710,,2025-04-17 09:15:00,,,,-1.0,1.0,-51.25,-51.25,4.04,-55.29,-10.25,-51.25,-55.29,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(-28.75)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
712,,2025-04-17 09:30:00,,,,1.0,1.0,16.25,16.25,4.04,12.21,3.25,16.25,12.21,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
714,,2025-04-21 08:30:00,,,,-1.0,1.0,-338.75,-338.75,4.04,-342.79,-67.75,-338.75,-342.79,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(62.50)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
716,,2025-04-21 09:15:00,,,,1.0,1.0,22.5,22.5,4.04,18.46,4.5,22.5,18.46,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
718,,2025-04-22 03:30:00,,,,-1.0,1.0,-70.0,-70.0,4.04,-74.04,-14.0,-70.0,-74.04,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
720,,2025-04-22 04:15:00,,,,1.0,1.0,50.0,50.0,4.04,45.96,10.0,50.0,45.96,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(58.75)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
722,,2025-04-22 04:30:00,,,,-1.0,1.0,21.25,21.25,4.04,17.21,4.25,21.25,17.21,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
724,,2025-04-22 07:15:00,,,,1.0,1.0,30.0,30.0,4.04,25.96,6.0,30.0,25.96,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(51.25)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
726,,2025-04-22 08:45:00,,,,-1.0,1.0,27.5,27.5,4.04,23.46,5.5,27.5,23.46,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(50.00)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
728,,2025-04-22 09:30:00,,,,1.0,1.0,-77.5,-77.5,4.04,-81.54,-15.5,-77.5,-81.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
730,,2025-04-23 03:30:00,,,,-1.0,1.0,780.0,780.0,4.04,775.96,156.0,780.0,775.96,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
732,,2025-04-23 05:45:00,,,,1.0,1.0,-86.25,-86.25,4.04,-90.29,-17.25,-86.25,-90.29,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(53.75)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
734,,2025-04-23 06:00:00,,,,-1.0,1.0,42.5,42.5,4.04,38.46,8.5,42.5,38.46,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
736,,2025-04-23 07:30:00,,,,1.0,1.0,-60.0,-60.0,4.04,-64.04,-12.0,-60.0,-64.04,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(52.50)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
738,,2025-04-23 08:15:00,,,,-1.0,1.0,-5.0,-5.0,4.04,-9.04,-1.0,-5.0,-9.04,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
740,,2025-04-23 09:15:00,,,,1.0,1.0,-17.5,-17.5,4.04,-21.54,-3.5,-17.5,-21.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(67.50)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
742,,2025-04-23 09:30:00,,,,-1.0,1.0,40.0,40.0,4.04,35.96,8.0,40.0,35.96,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
744,,2025-04-24 03:30:00,,,,1.0,1.0,341.25,341.25,4.04,337.21,68.25,341.25,337.21,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
746,,2025-04-24 06:15:00,,,,-1.0,1.0,-7.5,-7.5,4.04,-11.54,-1.5,-7.5,-11.54,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(53.75)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
748,,2025-04-24 07:15:00,,,,1.0,1.0,-66.25,-66.25,4.04,-70.29,-13.25,-66.25,-70.29,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(55.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
750,,2025-04-24 07:30:00,,,,-1.0,1.0,-26.25,-26.25,4.04,-30.29,-5.25,-26.25,-30.29,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(93.75)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
